"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"343","Moderate","Male","Middle-aged","Moderate","White",0.996561286771959,0.685178591306344
"344","Liberal","Female","Old","Moderate","White",0.991860297202902,0.794480969924311
"345","Liberal","Female","Young","High","Hispanic",0.975826669549378,0.747652614715358
"346","Very liberal","Female","Old","High","White",0.999166532638483,0.741556968742276
"347","Liberal","Male","Middle-aged","Moderate","White",0.995768211945883,0.688823736954195
"348","Conservative","Male","Old","Moderate","White",0.996675449457302,0.707358272476612
"349","Conservative","Male","Old","High","Hispanic",0.99851117347425,0.692011749499763
"350","Liberal","Female","Young","Low","Black",0.89136368727293,0.784220723730495
"351","Conservative","Male","Old","Moderate","White",0.995044407845187,0.723799726087462
"352","Conservative","Female","Old","Low","White",0.966173287377056,0.831113250672599
"353","Moderate","Male","Old","High","Black",0.999359204062099,0.677683744041633
"354","Liberal","Female","Middle-aged","High","Other",0.995044582893827,0.739347357798938
"355","Moderate","Male","Middle-aged","High","White",0.99717717216899,0.624000791860471
"356","Very liberal","Male","Middle-aged","Moderate","White",0.995882042371484,0.633511892426508
"357","Moderate","Female","Middle-aged","High","Hispanic",0.994582423505588,0.759993304043329
"358","Conservative","Male","Middle-aged","Moderate","Hispanic",0.987875411620106,0.708410967523139
"359","Moderate","Male","Middle-aged","High","White",0.999403246383087,0.618184630064995
"360","Liberal","Female","Middle-aged","Moderate","Black",0.958788762180226,0.790176112514216
"361","Liberal","Female","Middle-aged","Low","Hispanic",0.886655634109535,0.802578510685686
"362","Very liberal","Male","Young","High","White",0.998077457773935,0.59360000106413
"363","Moderate","Male","Middle-aged","High","Hispanic",0.996895358938556,0.674952940422036
"364","Conservative","Male","Middle-aged","Moderate","Hispanic",0.989938893810713,0.715429187363756
"365","Very conservative","Male","Middle-aged","High","Hispanic",0.997231183086827,0.655208766782156
"366","Conservative","Male","Old","Moderate","White",0.997139820738848,0.712993082469901
"367","Conservative","Female","Middle-aged","Moderate","White",0.984537167364392,0.807202958962251
"368","Liberal","Female","Old","Moderate","Black",0.993675249152358,0.820385136897871
"369","Moderate","Male","Old","Low","Black",0.988371072927433,0.727680446708603
"370","Moderate","Female","Old","Moderate","White",0.994167952388161,0.819330626112375
"371","Moderate","Male","Middle-aged","High","Hispanic",0.995746356698152,0.62710824761182
