"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"299","Conservative","Female","Old","Moderate","White",0.917044113586013,0.0374047471411886
"300","Conservative","Female","Old","Moderate","White",0.919019391648166,0.0482591056422534
"301","Liberal","Male","Middle-aged","High","White",0.888691951996326,0.29134842220055
"302","Conservative","Male","Old","Moderate","White",0.901411487010857,0.088908295894718
"303","Conservative","Male","Middle-aged","High","White",0.910357733262207,0.220538725847909
"304","Moderate","Female","Young","High","White",0.844106409246058,0.10516349417472
"305","Liberal","Male","Middle-aged","Low","White",0.89742282631577,0.0737405382225869
"306","Very liberal","Female","Old","Low","White",0.928474102385422,0.0451129765468224
"307","Conservative","Male","Middle-aged","High","White",0.887587752752296,0.146942211765694
"308","Liberal","Male","Old","High","Hispanic",0.87085887064967,0.0987648178784932
"309","Moderate","Female","Old","High","Black",0.940834625488293,0.0997898195765634
"310","Conservative","Male","Old","Low","Hispanic",0.763640666482471,0.0295482747837141
"311","Conservative","Male","Middle-aged","High","Hispanic",0.736679246837173,0.0845375989947292
"312","Moderate","Female","Old","High","Hispanic",0.897670860494012,0.0590551542752761
"313","Moderate","Female","Old","Moderate","Black",0.911848328571227,0.0299969472647329
"314","Moderate","Female","Middle-aged","High","White",0.915770093401939,0.0938837069781789
"315","Liberal","Male","Middle-aged","High","Hispanic",0.766611391372146,0.176639078796305
"316","Conservative","Female","Middle-aged","High","Black",0.882396603300722,0.0971831470516119
"317","Moderate","Male","Middle-aged","High","White",0.914667677868604,0.248396362681218
"318","Very liberal","Male","Middle-aged","High","White",0.907276617066324,0.318538849416747
"319","Very conservative","Male","Old","Moderate","White",0.911705725134582,0.0959329255464382
"320","Moderate","Female","Old","High","Hispanic",0.857759308420221,0.0487279732464874
"321","Very conservative","Male","Old","Low","White",0.915318373480757,0.0446112140424381
"322","Conservative","Male","Old","Low","Hispanic",0.809475991692848,0.028161583240531
"323","Moderate","Female","Middle-aged","High","Hispanic",0.740755484734592,0.0553801262042484
"324","Moderate","Male","Old","High","Hispanic",0.849770412145353,0.141532384598933
"325","Moderate","Female","Old","Low","Other",0.88177784250778,0.0297353960351261
"326","Conservative","Male","Middle-aged","High","White",0.879916966770584,0.148642327930509
"327","Conservative","Male","Old","Moderate","Hispanic",0.789759939139895,0.0373949800390698
"328","Very conservative","Male","Middle-aged","Low","White",0.867890829010088,0.0486077664105583
"329","Very conservative","Male","Middle-aged","Moderate","White",0.889369788768509,0.0780683833567652
"330","Very conservative","Male","Old","Low","White",0.909346601958706,0.0451900838960995
"331","Moderate","Male","Old","Low","White",0.928445833158723,0.0591370975443868
"332","Liberal","Female","Middle-aged","Moderate","White",0.919642819387891,0.0658032586026026
"333","Very conservative","Male","Old","Moderate","Hispanic",0.809454260497663,0.0524660586350821
"334","Liberal","Female","Middle-aged","High","White",0.897186519521878,0.112818425031373
"335","Moderate","Male","Old","High","Hispanic",0.867861588900997,0.138283858027458
"336","Conservative","Male","Old","Moderate","Hispanic",0.866754524831588,0.044088384442459
"337","Liberal","Male","Young","High","Black",0.7911534711292,0.154292383027479
"338","Moderate","Male","Old","Moderate","White",0.931856248722397,0.0966787344751583
"339","Moderate","Male","Old","Moderate","Hispanic",0.845859441848005,0.0531195756876273
"340","Moderate","Female","Old","High","Black",0.917976612974124,0.0642947646582862
"341","Very conservative","Male","Middle-aged","High","White",0.882367772143844,0.202154776310147
"342","Liberal","Male","Middle-aged","High","White",0.918788888625984,0.278515516446676
"343","Moderate","Male","Middle-aged","Moderate","White",0.894967718204323,0.104406536742832
"344","Liberal","Female","Old","Moderate","White",0.923246515962731,0.0652522181869604
"345","Liberal","Female","Young","High","Hispanic",0.741561836628272,0.0646328397551153
"346","Very liberal","Female","Old","High","White",0.951198248481054,0.182327778658138
"347","Liberal","Male","Middle-aged","Moderate","White",0.897547411058437,0.0944924994639556
"348","Conservative","Male","Old","Moderate","White",0.903602031057711,0.0885444936891627
"349","Conservative","Male","Old","High","Hispanic",0.861383823545204,0.0948683467113199
"350","Liberal","Female","Young","Low","Black",0.744506972921735,0.0337967229551281
"351","Conservative","Male","Old","Moderate","White",0.901291084317632,0.0692888675897108
"352","Conservative","Female","Old","Low","White",0.895904446333543,0.0300766769712551
"353","Moderate","Male","Old","High","Black",0.918676752545528,0.142702739287891
"354","Liberal","Female","Middle-aged","High","Other",0.88546628011539,0.122147216193054
"355","Moderate","Male","Middle-aged","High","White",0.85774344660649,0.175817117555703
"356","Very liberal","Male","Middle-aged","Moderate","White",0.867273239544634,0.145416869957423
"357","Moderate","Female","Middle-aged","High","Hispanic",0.838908660062921,0.0829216594446399
"358","Conservative","Male","Middle-aged","Moderate","Hispanic",0.759612366665335,0.0499266814871693
"359","Moderate","Male","Middle-aged","High","White",0.912704296445179,0.249237350232231
"360","Liberal","Female","Middle-aged","Moderate","Black",0.820394655728176,0.0405674965126636
"361","Liberal","Female","Middle-aged","Low","Hispanic",0.715897456932863,0.0233798007702086
"362","Very liberal","Male","Young","High","White",0.870418770283711,0.225437481693552
"363","Moderate","Male","Middle-aged","High","Hispanic",0.818470933889243,0.0908435743977768
"364","Conservative","Male","Middle-aged","Moderate","Hispanic",0.781604206590664,0.0488702761083751
"365","Very conservative","Male","Middle-aged","High","Hispanic",0.777534485702745,0.114475378205484
"366","Conservative","Male","Old","Moderate","White",0.911934804251663,0.0871026925039756
"367","Conservative","Female","Middle-aged","Moderate","White",0.900699967109638,0.0501534661765183
