"","Political identification","Gender","Age","Education","Race","pai (x-coord)","psi (y-coord)"
"233","Moderate","Male","Old","Low","Black",0.93659113182562,0.805221079772035
"234","Liberal","Male","Old","High","White",0.989904271206183,0.763156150035931
"235","Conservative","Male","Middle-aged","High","White",0.848406025695298,0.729908935024681
"236","Moderate","Female","Middle-aged","High","White",0.988637421668386,0.793443508001612
"237","Liberal","Female","Middle-aged","High","White",0.986268476079411,0.787647596166817
"238","Conservative","Female","Old","Low","White",0.984476805295732,0.82179394568621
"239","Conservative","Male","Middle-aged","Moderate","Black",0.91074499151402,0.781095370077821
"240","Conservative","Male","Middle-aged","High","Black",0.927348459435816,0.759394035463738
"241","Moderate","Male","Old","Low","White",0.983170345211856,0.807000501616616
"242","Moderate","Male","Middle-aged","High","White",0.942409870691994,0.759153921329014
"243","Moderate","Female","Young","High","Asian",0.958066240433757,0.784241892222184
"244","Conservative","Male","Old","Moderate","White",0.952334315118499,0.781896183133115
"245","Liberal","Male","Middle-aged","Moderate","White",0.889680194922245,0.762616480650411
"246","Moderate","Female","Middle-aged","High","White",0.99116359866356,0.781074731440689
"247","Liberal","Male","Middle-aged","High","White",0.948706488352125,0.757098894927058
"248","Moderate","Female","Old","Low","White",0.98593582247223,0.826670072963353
"249","Very liberal","Female","Middle-aged","High","White",0.9923103000783,0.775841316379695
"250","Very liberal","Non-binary","Young","Low","White",0.991178428165001,0.829435765314756
"251","Very conservative","Male","Old","Low","White",0.885157269160377,0.788881494629458
"252","Moderate","Female","Middle-aged","High","White",0.989675862728335,0.779033251690981
"253","Moderate","Female","Middle-aged","Low","White",0.953263463612629,0.805675403889966
"254","Moderate","Female","Old","Moderate","White",0.991300004421007,0.811431616944793
"255","Moderate","Male","Old","High","Hispanic",0.974684799239174,0.786717508747758
"256","Moderate","Female","Young","Moderate","Asian",0.925262292071996,0.806957869070236
"257","Conservative","Male","Old","Low","White",0.933140900765644,0.792931338982139
"258","Liberal","Female","Middle-aged","High","Hispanic",0.980220017254587,0.805597032346495
"259","Moderate","Male","Middle-aged","Moderate","Hispanic",0.890448830688745,0.797971112126383
"260","Moderate","Male","Young","Moderate","Hispanic",0.736080061863343,0.792358729359855
"261","Moderate","Female","Old","Low","White",0.992987460274118,0.827627322931898
"262","Moderate","Male","Old","Moderate","Black",0.970476238361421,0.79251955725931
"263","Conservative","Male","Old","Moderate","White",0.962907744288805,0.785259227835344
"264","Liberal","Female","Middle-aged","High","White",0.991756699461072,0.778469080059036
"265","Liberal","Male","Young","High","Asian",0.872659495075501,0.760281127989744
"266","Very conservative","Male","Middle-aged","High","White",0.808857030769375,0.729772510860711
"267","Conservative","Male","Middle-aged","High","White",0.925223799884981,0.759027392172639
"268","Very conservative","Female","Old","High","Hispanic",0.981602670576947,0.808785097103192
"269","Conservative","Female","Old","High","Black",0.986613679147618,0.802171399760148
"270","Liberal","Female","Old","Moderate","White",0.992122843927505,0.816527979440163
"271","Very liberal","Female","Old","High","White",0.997288489159298,0.789334696568322
"272","Moderate","Female","Young","High","Black",0.944231411782801,0.788280532443052
"273","Conservative","Male","Old","Low","White",0.950272127368555,0.796811496878098
"274","Moderate","Male","Old","Moderate","White",0.971697722704352,0.785375877948311
"275","Conservative","Male","Old","Moderate","Hispanic",0.943256214314988,0.809741209268138
"276","Moderate","Female","Old","Low","White",0.995129135614303,0.83155220486581
"277","Very conservative","Male","Old","Moderate","White",0.915186760694568,0.785351182786797
"278","Moderate","Female","Middle-aged","Moderate","White",0.982058399326493,0.802787971995944
"279","Moderate","Female","Old","Moderate","White",0.991740223725568,0.812037752375905
"280","Very conservative","Female","Middle-aged","Low","White",0.928308831306245,0.806698648705059
"281","Conservative","Male","Old","Moderate","White",0.927807733525537,0.784128062141001
"282","Moderate","Male","Old","Low","White",0.970447268768415,0.800114061816832
"283","Moderate","Male","Middle-aged","Low","White",0.920136338241669,0.787124911557857
"284","Conservative","Female","Middle-aged","Moderate","White",0.96456658622159,0.797604458577801
"285","Very conservative","Male","Old","Low","White",0.960619957021311,0.803048103789959
"286","Very conservative","Male","Old","Moderate","White",0.959465056820627,0.79521016824662
"287","Moderate","Male","Old","Moderate","White",0.974440153984966,0.786709974741918
"288","Liberal","Female","Old","Moderate","Hispanic",0.987383016222582,0.831446437188422
"289","Moderate","Female","Old","Low","White",0.983938117689355,0.818384922095248
"290","Moderate","Male","Middle-aged","High","White",0.926439742121089,0.755509333251655
"291","Very liberal","Male","Middle-aged","Moderate","Hispanic",0.920192404362458,0.795626442690662
"292","Conservative","Male","Old","Low","White",0.974193405697023,0.805031892383776
"293","Conservative","Female","Middle-aged","Low","White",0.925967571920285,0.803070055730892
"294","Very conservative","Female","Old","High","Hispanic",0.98252492444332,0.80939774126449
"295","Conservative","Male","Old","Moderate","Hispanic",0.937382921152154,0.808516106152538
"296","Liberal","Male","Middle-aged","High","Black",0.959227873950464,0.760370220501573
"297","Very liberal","Male","Old","Low","White",0.991263615697193,0.808447388599822
"298","Conservative","Female","Old","Low","White",0.985257143411316,0.822374063809118
"299","Conservative","Female","Old","Moderate","White",0.984009909798727,0.814529725673991
"300","Conservative","Female","Old","Moderate","White",0.98435642249868,0.807655830714594
"301","Liberal","Male","Middle-aged","High","White",0.93703914061974,0.736387217960299
"302","Conservative","Male","Old","Moderate","White",0.929284647850302,0.776436678441729
"303","Conservative","Male","Middle-aged","High","White",0.934917074422462,0.743750490490285
"304","Moderate","Female","Young","High","White",0.942143636733123,0.771867587575398
"305","Liberal","Male","Middle-aged","Low","White",0.95649239135514,0.791854020628814
"306","Very liberal","Female","Old","Low","White",0.995046269455714,0.825551589476805
"307","Conservative","Male","Middle-aged","High","White",0.900368164115056,0.754647870161587
"308","Liberal","Male","Old","High","Hispanic",0.978821682819663,0.800865174334554
"309","Moderate","Female","Old","High","Black",0.996670533246051,0.808305775474668
"310","Conservative","Male","Old","Low","Hispanic",0.867150679684768,0.813153974877954
"311","Conservative","Male","Middle-aged","High","Hispanic",0.808663681513073,0.777560482702042
"312","Moderate","Female","Old","High","Hispanic",0.994484287712269,0.823457107673823
"313","Moderate","Female","Old","Moderate","Black",0.993048873168064,0.83421180596531
"314","Moderate","Female","Middle-aged","High","White",0.986026579200489,0.790831239245738
"315","Liberal","Male","Middle-aged","High","Hispanic",0.905034053351794,0.764771911197955
"316","Conservative","Female","Middle-aged","High","Black",0.979183742157659,0.789074874622209
"317","Moderate","Male","Middle-aged","High","White",0.954743080368213,0.745390738506749
"318","Very liberal","Male","Middle-aged","High","White",0.967664411186852,0.74263265646413
"319","Very conservative","Male","Old","Moderate","White",0.926077186643959,0.771240160528334
"320","Moderate","Female","Old","High","Hispanic",0.988332323790698,0.821901823473869
"321","Very conservative","Male","Old","Low","White",0.938370181444264,0.797341116649678
"322","Conservative","Male","Old","Low","Hispanic",0.920711686774762,0.819692404930294
"323","Moderate","Female","Middle-aged","High","Hispanic",0.946248146712051,0.803812784104692
"324","Moderate","Male","Old","High","Hispanic",0.957993599608163,0.779986670966473
"325","Moderate","Female","Old","Low","Other",0.981133222832913,0.823379492832947
"326","Conservative","Male","Middle-aged","High","White",0.885361770266153,0.752438066031904
"327","Conservative","Male","Old","Moderate","Hispanic",0.896609097157887,0.809320423059563
"328","Very conservative","Male","Middle-aged","Low","White",0.84232350279089,0.784220368371265
"329","Very conservative","Male","Middle-aged","Moderate","White",0.884357136235897,0.772853969508198
"330","Very conservative","Male","Old","Low","White",0.928633905645971,0.795411590137407
"331","Moderate","Male","Old","Low","White",0.974634879582827,0.802010277525307
"332","Liberal","Female","Middle-aged","Moderate","White",0.990995930624413,0.807870709608966
"333","Very conservative","Male","Old","Moderate","Hispanic",0.889158918179652,0.796907051436137
"334","Liberal","Female","Middle-aged","High","White",0.983122600269692,0.784981891634828
